1 1   (0.11,0.23) 2.73322e-01 6.78811e-01
  
2 2   (0.03,0.33) 1.12064e-01 8.10235e-01
  
3 3    (0.05,0.3) 2.35467e-02 5.15922e-01
  
4 4    (0.01,0.4) 2.00822e-02 4.69807e-01
  
5 5   (0.03,0.32) 1.96994e-02 7.79993e-01
  
6 6      (0,0.42) 1.10816e-02 5.96773e-01
  
7 7      (0,0.38) 8.86392e-03 4.96158e-01
  
8 8      (0,0.33) 3.24112e-03 3.21610e-01
  
9 9      (0,0.45) 8.04011e-03 9.72535e-01
    
10 10   (0.01,0.42) 2.82684e-03 4.50010e-01
    
11 11      (0,0.47) 4.58595e-03 9.04071e-01
    
12 12   (0.01,0.48) 3.03608e-03 8.00605e-01
    
13 13   (0.01,0.39) 1.95244e-03 6.88214e-01
    
14 14      (0,0.48) 1.52367e-03 6.28136e-01
    
15 15      (0,0.46) 1.81760e-03 9.51382e-01
    
16 16      (0,0.43) 3.79681e-04 2.24197e-01
    
17 17      (0,0.47) 7.28964e-04 4.75830e-01
    
18 18      (0,0.48) 9.18544e-04 7.00461e-01
    
19 19   (0.02,0.36) 9.79894e-04 8.32360e-01
    
20 20      (0,0.44) 3.02660e-04 2.95098e-01
    
21 21      (0,0.46) 9.22829e-04 1.07409e+00
    
22 22   (0.01,0.43) 2.65362e-04 3.41882e-01
    
23 23       (0,0.4) 3.19479e-04 4.43125e-01
    
24 24      (0,0.38) 3.69580e-04 5.64534e-01
    
25 25      (0,0.43) 1.02353e-04 2.10158e-01
    
26 26      (0,0.62) 1.11297e-04 2.21341e-01
    
27 27      (0,0.38) 1.07068e-04 2.49473e-01
    
28 28      (0,0.44) 1.58135e-04 3.69552e-01
    
29 29      (0,0.45) 1.89698e-04 4.76582e-01
    
30 30      (0,0.55) 1.42853e-04 3.84625e-01
    
31 31      (0,0.44) 1.41041e-04 4.07165e-01
    
32 32      (0,0.42) 1.14722e-04 3.68004e-01
    
33 33      (0,0.52) 1.56241e-04 5.05276e-01
    
34 34      (0,0.48) 1.70758e-04 6.55941e-01
    
35 35      (0,0.48) 5.48598e-05 2.35614e-01
    
36 36       (0,0.5) 7.16932e-05 3.17197e-01
    
37 37      (0,0.46) 1.43756e-04 6.53292e-01
    
38 38      (0,0.43) 8.93144e-05 4.30692e-01
    
39 39      (0,0.47) 4.99554e-05 2.81641e-01
    
40 40      (0,0.44) 1.39605e-04 7.58641e-01
    
41 41      (0,0.45) 1.27084e-04 7.37850e-01
    
42 42      (0,0.43) 1.02982e-04 6.54123e-01
    
43 43      (0,0.46) 1.25112e-04 8.37824e-01
    
44 44      (0,0.51) 6.13858e-05 4.35817e-01
    
45 45      (0,0.55) 9.98474e-05 7.25479e-01
    
46 46      (0,0.39) 3.92975e-05 3.15961e-01
    
47 47      (0,0.51) 4.63544e-05 3.75650e-01
    
48 48      (0,0.42) 7.59038e-05 6.56987e-01
