1 1   (0.03,0.22) 2.35786e+00 7.41000e+00
       
2 2   (0.01,0.24) 1.94723e-01 1.32015e+00
       
3 3      (0,0.22) 9.36607e-03 4.80538e-01
       
4 4   (0.01,0.24) 9.30131e-03 5.50724e-01
       
5 5      (0,0.23) 4.44948e-03 5.53378e-01
       
6 6   (0.01,0.25) 4.14312e-03 6.07427e-01
       
7 7      (0,0.34) 4.56776e-03 6.96458e-01
       
8 8      (0,0.28) 2.47983e-03 4.89984e-01
       
9 9      (0,0.33) 2.03185e-03 6.92253e-01
         
10 10      (0,0.49) 1.58316e-03 8.09024e-01
         
11 11      (0,0.32) 9.78299e-04 7.18854e-01
         
12 12      (0,0.35) 5.09475e-04 5.24963e-01
         
13 13       (0,0.3) 5.78808e-04 8.89362e-01
         
14 14      (0,0.27) 4.59631e-04 8.72277e-01
         
15 15      (0,0.33) 2.13491e-04 5.53976e-01
