    
1 1    (0.1,0.53) 4.12932e-01 8.26293e-01
    
2 2   (0.05,0.41) 8.70339e-02 4.04964e-01
    
3 3   (0.13,0.35) 1.24267e-02 9.30903e-02
    
4 4   (0.04,0.47) 3.27320e-02 3.68577e-01
    
5 5   (0.02,0.71) 1.64200e-02 2.19643e-01
    
6 6   (0.04,0.38) 5.31961e-03 9.94983e-02
    
7 7   (0.03,0.49) 9.98345e-04 2.60172e-02
    
8 8   (0.02,0.52) 1.57489e-02 4.14605e-01
    
9 9      (0,0.56) 1.24994e-03 4.19769e-02
      
10 10   (0.01,0.54) 1.35174e-02 5.77516e-01
      
11 11   (0.03,0.59) 3.75434e-03 1.55658e-01
      
12 12      (0,0.54) 9.75754e-03 5.02004e-01
      
13 13   (0.04,0.62) 1.18861e-02 6.78585e-01
      
14 14   (0.01,0.76) 1.39110e-02 8.73531e-01
      
15 15      (0,0.59) 8.96935e-03 6.28490e-01
      
16 16   (0.03,0.53) 5.81797e-03 4.57664e-01
      
17 17      (0,0.66) 1.02510e-02 8.66314e-01
      
18 18      (0,0.74) 4.86026e-03 3.54819e-01
      
19 19      (0,0.74) 8.66779e-04 6.42118e-02
      
20 20   (0.02,0.61) 1.94813e-03 1.94696e-01
      
21 21       (0,0.7) 8.36957e-03 9.19209e-01
      
22 22    (0.03,0.8) 4.36882e-03 5.09358e-01
      
23 23      (0,0.67) 1.06570e-03 1.25654e-01
      
24 24   (0.01,0.62) 1.77964e-03 2.24370e-01
      
25 25   (0.01,0.89) 2.00360e-03 2.81704e-01
      
26 26      (0,0.69) 4.21207e-03 6.53593e-01
      
27 27   (0.01,0.64) 1.82532e-03 2.74484e-01
      
28 28      (0,0.71) 5.48456e-03 1.00855e+00
      
29 29   (0.02,0.68) 1.00541e-03 1.50396e-01
      
30 30      (0,0.77) 4.27353e-03 8.22056e-01
      
31 31   (0.01,0.75) 8.83651e-04 1.74463e-01
      
32 32   (0.01,0.71) 9.04478e-04 1.53418e-01
      
33 33   (0.01,0.77) 4.16356e-03 9.12570e-01
      
34 34   (0.01,0.68) 3.24334e-03 7.39710e-01
      
35 35      (0,0.69) 4.04073e-04 8.11532e-02
      
36 36      (0,0.64) 1.76295e-03 4.20812e-01
      
37 37      (0,0.81) 2.81235e-03 7.10561e-01
      
38 38      (0,0.81) 2.75128e-03 7.28514e-01
      
39 39      (0,0.69) 9.08838e-04 2.34766e-01
      
40 40      (0,0.67) 2.05580e-03 6.09653e-01
      
41 41      (0,0.67) 5.50320e-04 1.66077e-01
      
42 42       (0,0.6) 1.16758e-03 3.44755e-01
      
43 43      (0,0.81) 7.83383e-04 2.42460e-01
      
44 44   (0.01,0.63) 7.81432e-04 2.43127e-01
      
45 45      (0,0.67) 2.04452e-03 7.11058e-01
      
46 46      (0,0.68) 1.67723e-03 5.88605e-01
      
47 47      (0,0.72) 4.86086e-04 1.42720e-01
      
48 48      (0,0.64) 2.20629e-04 6.48471e-02
      
49 49      (0,0.66) 1.96157e-03 7.94171e-01
      
50 50   (0.01,0.82) 1.25631e-03 5.18334e-01
      
51 51   (0.01,0.69) 2.55597e-04 8.88411e-02
      
52 52      (0,0.62) 3.80959e-04 1.22885e-01
      
53 53      (0,0.66) 1.04484e-03 4.19638e-01
      
54 54      (0,0.84) 1.26789e-03 5.31103e-01
      
55 55      (0,0.71) 4.52913e-04 1.94001e-01
      
56 56      (0,0.65) 2.29434e-04 7.20864e-02
      
57 57       (0,0.8) 2.14293e-03 1.06210e+00
      
58 58      (0,0.64) 3.37871e-04 1.45059e-01
      
59 59   (0.01,0.62) 4.10279e-04 1.99108e-01
      
60 60      (0,0.71) 3.56805e-04 1.65210e-01
      
61 61   (0.01,0.74) 1.32772e-04 4.72335e-02
      
62 62      (0,0.78) 5.36069e-04 2.64635e-01
      
63 63      (0,0.66) 6.43899e-04 3.32286e-01
      
64 64      (0,0.67) 1.38379e-03 8.09797e-01
      
65 65   (0.01,0.76) 1.77959e-04 6.57025e-02
      
66 66      (0,0.73) 9.65450e-04 5.53816e-01
      
67 67      (0,0.77) 1.46899e-03 9.06657e-01
      
68 68      (0,0.66) 1.76061e-04 8.73053e-02
      
69 69   (0.01,0.87) 6.38350e-04 3.76123e-01
      
70 70      (0,0.71) 1.35297e-03 8.83670e-01
      
71 71      (0,0.76) 8.77574e-04 5.79411e-01
      
72 72      (0,0.77) 6.88846e-04 4.43735e-01
      
73 73      (0,0.67) 1.12661e-04 5.55987e-02
      
74 74       (0,0.6) 9.30253e-04 6.60592e-01
      
75 75      (0,0.62) 7.81198e-04 5.26473e-01
      
76 76      (0,0.73) 9.68500e-04 7.26032e-01
      
77 77      (0,0.68) 2.78306e-04 1.83235e-01
      
78 78      (0,0.88) 4.63068e-04 3.11548e-01
      
79 79      (0,0.84) 1.18414e-03 9.88633e-01
      
80 80      (0,0.78) 2.53316e-04 1.74107e-01
      
81 81      (0,0.69) 1.28889e-04 7.48431e-02
      
82 82      (0,0.71) 7.14653e-04 5.81320e-01
      
83 83      (0,0.76) 3.48161e-04 2.41046e-01
      
84 84      (0,0.88) 7.12753e-04 5.76106e-01
      
85 85      (0,0.69) 9.16285e-04 8.01731e-01
      
86 86       (0,0.8) 2.15585e-04 1.58168e-01
      
87 87      (0,0.71) 1.40699e-04 7.43565e-02
      
88 88    (0.01,0.7) 4.33397e-04 3.78281e-01
      
89 89      (0,0.76) 4.39535e-04 3.69116e-01
      
90 90      (0,0.65) 9.58800e-05 6.58019e-02
      
91 91      (0,0.77) 4.25488e-04 3.83266e-01
