1 1   (0.02,0.46) 3.00997e-01 9.41999e-01
  
2 2   (0.01,0.41) 1.76764e-01 1.06844e+00

3 3   (0.07,0.56) 1.91545e-02 2.36508e-01

4 4   (0.01,0.42) 6.17532e-02 9.96539e-01

5 5      (0,0.34) 9.78877e-03 2.46023e-01

6 6   (0.05,0.39) 5.69460e-03 2.46285e-01

7 7   (0.02,0.51) 1.00210e-02 4.50185e-01
8 8   (0.01,0.52) 1.27186e-02 7.37718e-01

9 9   (0.02,0.55) 1.29501e-02 9.85930e-01
     
10 10   (0.01,0.64) 6.30788e-03 5.45622e-01
     
11 11      (0,0.53) 2.99245e-03 3.56022e-01
     
12 12    (0.03,0.4) 2.23782e-03 3.20145e-01
     
13 13      (0,0.43) 4.08956e-03 6.95401e-01
     
14 14   (0.01,0.46) 1.51697e-03 2.72295e-01
     
15 15   (0.02,0.39) 2.28915e-03 5.29547e-01
     
16 16      (0,0.47) 5.38546e-04 1.21188e-01
     
17 17   (0.02,0.43) 1.64204e-03 4.06673e-01
     
18 18      (0,0.56) 2.52765e-03 7.38850e-01
     
19 19   (0.01,0.58) 2.43346e-03 7.44578e-01
     
20 20      (0,0.61) 1.97120e-03 6.59935e-01
     
21 21      (0,0.73) 9.28842e-04 3.60266e-01
     
22 22   (0.01,0.48) 1.36584e-03 6.01037e-01
     
23 23      (0,0.49) 1.52962e-03 6.84810e-01
     
24 24   (0.01,0.51) 1.65645e-03 8.04463e-01
     
25 25      (0,0.59) 3.16139e-04 1.54630e-01
     
26 26       (0,0.5) 1.10302e-03 6.90325e-01
     
27 27   (0.01,0.59) 1.52793e-03 9.94406e-01
     
28 28      (0,0.57) 9.39735e-04 6.71751e-01
     
29 29    (0.01,0.6) 7.65537e-04 5.45870e-01
     
30 30      (0,0.48) 8.83671e-04 6.42674e-01
     
31 31   (0.01,0.49) 7.37132e-04 6.40766e-01
     
32 32       (0,0.6) 1.01761e-03 9.41559e-01
     
33 33      (0,0.52) 9.02788e-04 8.57132e-01
     
34 34      (0,0.55) 1.14022e-03 1.20213e+00
     
35 35      (0,0.48) 6.31651e-04 6.55287e-01
     
36 36   (0.01,0.61) 3.83717e-04 3.68026e-01
     
37 37      (0,0.64) 3.66536e-04 3.63823e-01
     
38 38      (0,0.53) 2.80627e-04 3.36169e-01
     
39 39      (0,0.44) 5.20345e-04 6.90862e-01
     
40 40       (0,0.7) 8.28706e-04 1.16009e+00
     
41 41      (0,0.57) 5.56702e-04 7.71695e-01
     
42 42      (0,0.61) 3.20619e-04 4.15356e-01
     
43 43      (0,0.53) 5.18134e-04 8.15635e-01
