1 1   (0.01,0.35) 3.39048e-01 1.19998e+00
        
2 2   (0.06,0.27) 1.12309e-02 8.55367e-02
        
3 3   (0.08,0.22) 2.31538e-02 4.82578e-01
        
4 4   (0.02,0.28) 1.12475e-02 3.83709e-01
        
5 5   (0.02,0.31) 3.09586e-03 2.06650e-01
        
6 6      (0,0.34) 4.89563e-03 3.82525e-01
        
7 7   (0.01,0.42) 3.88248e-03 4.31616e-01
        
8 8   (0.01,0.31) 1.35947e-03 2.03993e-01
        
9 9   (0.01,0.41) 2.83655e-03 5.39358e-01
          
10 10   (0.01,0.38) 2.99207e-03 6.48872e-01
          
11 11   (0.01,0.53) 1.42792e-03 3.99173e-01
          
12 12      (0,0.56) 6.21667e-04 1.91611e-01
          
13 13       (0,0.4) 1.86626e-03 7.47142e-01
          
14 14   (0.01,0.39) 3.45237e-04 1.66040e-01
          
15 15      (0,0.46) 1.32054e-03 7.87089e-01
          
16 16      (0,0.35) 1.51279e-03 9.22700e-01
          
17 17      (0,0.42) 3.09203e-04 2.32575e-01
          
18 18      (0,0.41) 5.72558e-04 4.85761e-01
          
19 19      (0,0.42) 7.91581e-04 7.84857e-01
          
20 20      (0,0.49) 7.10574e-04 6.94800e-01
