       
1 1   (0.02,0.23) 1.13320e-01 5.75873e-01
        
2 2   (0.03,0.26) 6.33085e-02 5.38451e-01
        
3 3      (0,0.32) 4.44393e-02 1.01719e+00
        
4 4      (0,0.26) 1.25959e-02 7.08689e-01
        
5 5   (0.01,0.29) 7.99323e-03 6.48783e-01
        
6 6       (0,0.4) 2.13014e-03 2.99553e-01
        
7 7      (0,0.29) 3.05221e-03 5.15783e-01
        
8 8      (0,0.36) 2.06479e-03 5.84017e-01
        
9 9   (0.01,0.39) 7.16302e-04 2.62099e-01
          
10 10    (0.03,0.3) 9.41690e-04 4.77320e-01
          
11 11       (0,0.3) 9.59547e-04 6.00459e-01
          
12 12      (0,0.32) 8.17706e-04 6.25311e-01
