Loading required package: foreach
Loading required package: iterators
Loading required package: parallel
[1] "m=3,normal"
[1] 128
      n         TAE
1     1 1.09682e+00
2     2 5.75693e-01
3     3 5.53739e-01
4     4 5.20949e-01
5     5 5.15796e-01
6     6 5.17225e-01
7     7 5.20120e-01
8     8 5.05047e-01
9     9 5.16003e-01
10   10 5.11275e-01
11   11 5.03909e-01
12   12 5.04843e-01
13   13 5.11898e-01
14   14 5.04538e-01
15   15 5.14526e-01
16   16 5.07286e-01
17   17 5.10325e-01
18   18 5.21406e-01
19   19 5.04088e-01
20   20 5.07369e-01
21   21 5.03363e-01
22   22 5.03810e-01
23   23 5.00585e-01
24   24 4.95673e-01
25   25 5.09231e-01
26   26 5.06509e-01
27   27 5.03154e-01
28   28 4.97709e-01
29   29 4.98292e-01
30   30 5.05869e-01
31   31 5.03446e-01
32   32 5.05173e-01
33   33 5.02404e-01
34   34 4.98519e-01
35   35 4.95819e-01
36   36 5.04421e-01
37   37 5.01437e-01
38   38 5.05986e-01
39   39 5.04770e-01
40   40 4.99014e-01
41   41 5.09391e-01
42   42 4.98570e-01
43   43 5.06013e-01
44   44 5.10227e-01
45   45 5.12473e-01
46   46 5.09292e-01
47   47 5.00943e-01
48   48 5.21487e-01
49   49 5.02473e-01
50   50 5.01816e-01
51   51 4.93311e-01
52   52 5.05334e-01
53   53 5.01397e-01
54   54 5.01501e-01
55   55 4.95223e-01
56   56 5.06855e-01
57   57 5.03359e-01
58   58 5.02290e-01
59   59 5.03473e-01
60   60 5.05558e-01
61   61 4.91579e-01
62   62 4.99615e-01
63   63 4.96407e-01
64   64 4.99322e-01
65   65 5.07820e-01
66   66 5.01531e-01
67   67 5.02264e-01
68   68 5.06887e-01
69   69 4.97827e-01
70   70 5.15429e-01
71   71 5.04928e-01
72   72 4.95993e-01
73   73 4.92209e-01
74   74 5.01803e-01
75   75 5.05513e-01
76   76 5.05448e-01
77   77 5.01900e-01
78   78 5.00991e-01
79   79 4.97643e-01
80   80 5.05138e-01
81   81 4.94644e-01
82   82 4.97307e-01
83   83 4.98758e-01
84   84 5.00564e-01
85   85 5.02342e-01
86   86 4.97134e-01
87   87 5.03989e-01
88   88 4.91687e-01
89   89 4.95908e-01
90   90 5.02978e-01
91   91 4.97856e-01
92   92 4.89289e-01
93   93 4.94474e-01
94   94 4.95392e-01
95   95 5.02216e-01
96   96 5.05382e-01
97   97 5.01646e-01
98   98 5.00080e-01
99   99 5.05703e-01
100 100 5.04114e-01
