Loading required package: foreach
Loading required package: iterators
Loading required package: parallel
[1] "m=4,simu"
[1] 128
      n         TAE
1     1 3.46197e-03
2     2 7.12648e-03
3     3 1.00327e-02
4     4 1.29424e-02
5     5 1.59254e-02
6     6 1.91232e-02
7     7 2.20753e-02
8     8 2.51047e-02
9     9 2.81557e-02
10   10 3.09621e-02
11   11 3.38342e-02
12   12 3.66049e-02
13   13 3.93076e-02
14   14 4.21890e-02
15   15 4.47140e-02
16   16 4.72643e-02
17   17 4.98055e-02
18   18 5.24318e-02
19   19 5.47919e-02
20   20 5.73445e-02
21   21 5.95639e-02
22   22 6.18705e-02
23   23 6.40123e-02
24   24 6.63884e-02
25   25 6.85412e-02
26   26 7.05747e-02
27   27 7.28930e-02
28   28 7.51779e-02
29   29 7.70248e-02
30   30 7.91328e-02
31   31 8.12975e-02
32   32 8.31339e-02
33   33 8.52721e-02
34   34 8.73237e-02
35   35 8.91702e-02
36   36 9.10485e-02
37   37 9.30453e-02
38   38 9.50500e-02
39   39 9.68911e-02
40   40 9.86675e-02
41   41 1.00637e-01
42   42 1.02656e-01
43   43 1.04345e-01
44   44 1.06232e-01
45   45 1.08012e-01
46   46 1.09772e-01
47   47 1.11620e-01
48   48 1.13403e-01
49   49 1.15172e-01
50   50 1.16970e-01
51   51 1.18632e-01
52   52 1.20351e-01
53   53 1.22220e-01
54   54 1.23837e-01
55   55 1.25591e-01
56   56 1.27200e-01
57   57 1.29075e-01
58   58 1.30618e-01
59   59 1.32413e-01
60   60 1.33980e-01
61   61 1.35737e-01
62   62 1.37221e-01
63   63 1.38924e-01
64   64 1.40523e-01
65   65 1.42269e-01
66   66 1.43826e-01
67   67 1.45413e-01
68   68 1.47133e-01
69   69 1.48690e-01
70   70 1.50288e-01
71   71 1.51885e-01
72   72 1.53457e-01
73   73 1.54872e-01
74   74 1.56512e-01
75   75 1.58031e-01
76   76 1.59564e-01
77   77 1.61123e-01
78   78 1.62539e-01
79   79 1.64310e-01
80   80 1.65732e-01
81   81 1.67281e-01
82   82 1.68682e-01
83   83 1.70367e-01
84   84 1.71649e-01
85   85 1.73236e-01
86   86 1.74882e-01
87   87 1.76139e-01
88   88 1.77688e-01
89   89 1.79047e-01
90   90 1.80631e-01
91   91 1.82042e-01
92   92 1.83505e-01
93   93 1.84768e-01
94   94 1.86387e-01
95   95 1.87993e-01
96   96 1.89344e-01
97   97 1.90716e-01
98   98 1.92035e-01
99   99 1.93576e-01
100 100 1.95040e-01
