"n"	"m"	"method"	"mae"	"tae"
"1"	1	3	"Original"	0.524978	1
"2"	2	3	"Original"	0.339962	1
"3"	3	3	"Original"	0.250543	1
"4"	4	3	"Original"	0.196747	1
"5"	5	3	"Original"	0.163578	1
"6"	6	3	"Original"	0.140073	1
"7"	7	3	"Original"	0.122266	1
"8"	8	3	"Original"	0.108016	1
"9"	9	3	"Original"	0.0976166	1
"10"	10	3	"Original"	0.0883387	1
"11"	11	3	"Original"	0.0811059	1
"12"	12	3	"Original"	0.0749255	1
"13"	13	3	"Original"	0.0693213	1
"14"	14	3	"Original"	0.0650087	1
"15"	15	3	"Original"	0.0605839	1
"16"	16	3	"Original"	0.0568772	1
"17"	17	3	"Original"	0.054004	1
"18"	18	3	"Original"	0.0511595	1
"19"	19	3	"Original"	0.0485958	1
"20"	20	3	"Original"	0.0460806	1
"21"	21	3	"Original"	0.0440487	1
"22"	22	3	"Original"	0.0421653	1
"23"	23	3	"Original"	0.0404447	1
"24"	24	3	"Original"	0.0390165	1
"25"	25	3	"Original"	0.037363	1
"26"	26	3	"Original"	0.0358627	1
"27"	27	3	"Original"	0.0346109	1
"28"	28	3	"Original"	0.0334128	1
"29"	29	3	"Original"	0.0324659	1
"30"	30	3	"Original"	0.0314632	1
"31"	31	3	"Original"	0.0303428	1
"32"	32	3	"Original"	0.0294334	1
"33"	33	3	"Original"	0.0285653	1
"34"	34	3	"Original"	0.0278239	1
"35"	35	3	"Original"	0.0269169	1
"36"	36	3	"Original"	0.0262742	1
"37"	37	3	"Original"	0.0254331	1
"38"	38	3	"Original"	0.0248188	1
"39"	39	3	"Original"	0.0242187	1
"40"	40	3	"Original"	0.023639	1
"41"	41	3	"Original"	0.0229916	1
"42"	42	3	"Original"	0.0225227	1
"43"	43	3	"Original"	0.022042	1
"44"	44	3	"Original"	0.0215484	1
"45"	45	3	"Original"	0.021054	1
"46"	46	3	"Original"	0.0206002	1
"47"	47	3	"Original"	0.020189	1
"48"	48	3	"Original"	0.0197819	1
"49"	49	3	"Original"	0.0192988	1
"50"	50	3	"Original"	0.0189295	1
"51"	51	3	"Original"	0.0186857	1
"52"	52	3	"Original"	0.0182574	1
"53"	53	3	"Original"	0.0179245	1
"54"	54	3	"Original"	0.0175708	1
"55"	55	3	"Original"	0.0172831	1
"56"	56	3	"Original"	0.0170214	1
"57"	57	3	"Original"	0.0167212	1
"58"	58	3	"Original"	0.0163966	1
"59"	59	3	"Original"	0.0161413	1
"60"	60	3	"Original"	0.0159037	1
"61"	61	3	"Original"	0.0156102	1
"62"	62	3	"Original"	0.0153691	1
"63"	63	3	"Original"	0.0151267	1
"64"	64	3	"Original"	0.0148898	1
"65"	65	3	"Original"	0.0146426	1
"66"	66	3	"Original"	0.0144271	1
"67"	67	3	"Original"	0.0142401	1
"68"	68	3	"Original"	0.0140546	1
"69"	69	3	"Original"	0.0138387	1
"70"	70	3	"Original"	0.0136273	1
"71"	71	3	"Original"	0.0134378	1
"72"	72	3	"Original"	0.0132477	1
"73"	73	3	"Original"	0.0130896	1
"74"	74	3	"Original"	0.0129124	1
"75"	75	3	"Original"	0.01273	1
"76"	76	3	"Original"	0.0125748	1
"77"	77	3	"Original"	0.0124131	1
"78"	78	3	"Original"	0.0122258	1
"79"	79	3	"Original"	0.0121205	1
"80"	80	3	"Original"	0.0119686	1
"81"	81	3	"Original"	0.0117932	1
"82"	82	3	"Original"	0.0116614	1
"83"	83	3	"Original"	0.0115132	1
"84"	84	3	"Original"	0.0113898	1
"85"	85	3	"Original"	0.0112519	1
"86"	86	3	"Original"	0.0111555	1
"87"	87	3	"Original"	0.0110014	1
"88"	88	3	"Original"	0.010886	1
"89"	89	3	"Original"	0.0107439	1
"90"	90	3	"Original"	0.0106345	1
"91"	91	3	"Original"	0.0105276	1
"92"	92	3	"Original"	0.010431	1
"93"	93	3	"Original"	0.010299	1
"94"	94	3	"Original"	0.0102143	1
"95"	95	3	"Original"	0.0100579	1
"96"	96	3	"Original"	0.00997926	1
"97"	97	3	"Original"	0.00987347	1
"98"	98	3	"Original"	0.00979036	1
"99"	99	3	"Original"	0.00968028	1
"100"	100	3	"Original"	0.0095669	1
"101"	1	4	"Original"	0.409005	1
"102"	2	4	"Original"	0.218755	1
"103"	3	4	"Original"	0.143082	1
"104"	4	4	"Original"	0.102947	1
"105"	5	4	"Original"	0.0795824	1
"106"	6	4	"Original"	0.062221	1
"107"	7	4	"Original"	0.0514414	1
"108"	8	4	"Original"	0.0430815	1
"109"	9	4	"Original"	0.0367152	1
"110"	10	4	"Original"	0.0322098	1
"111"	11	4	"Original"	0.0280035	1
"112"	12	4	"Original"	0.0250048	1
"113"	13	4	"Original"	0.0225664	1
"114"	14	4	"Original"	0.0204651	1
"115"	15	4	"Original"	0.0184077	1
"116"	16	4	"Original"	0.0169226	1
"117"	17	4	"Original"	0.015434	1
"118"	18	4	"Original"	0.0141076	1
"119"	19	4	"Original"	0.013234	1
"120"	20	4	"Original"	0.0123413	1
"121"	21	4	"Original"	0.0114546	1
"122"	22	4	"Original"	0.0107393	1
"123"	23	4	"Original"	0.0100583	1
"124"	24	4	"Original"	0.00943025	1
"125"	25	4	"Original"	0.00892208	1
"126"	26	4	"Original"	0.00843561	1
"127"	27	4	"Original"	0.00796753	1
"128"	28	4	"Original"	0.00761597	1
"129"	29	4	"Original"	0.00720677	1
"130"	30	4	"Original"	0.00688283	1
"131"	31	4	"Original"	0.00656538	1
"132"	32	4	"Original"	0.00624465	1
"133"	33	4	"Original"	0.00601092	1
"134"	34	4	"Original"	0.00573854	1
"135"	35	4	"Original"	0.00552274	1
"136"	36	4	"Original"	0.00527626	1
"137"	37	4	"Original"	0.00507482	1
"138"	38	4	"Original"	0.00488831	1
"139"	39	4	"Original"	0.00469807	1
"140"	40	4	"Original"	0.00453062	1
"141"	41	4	"Original"	0.00436079	1
"142"	42	4	"Original"	0.00423105	1
"143"	43	4	"Original"	0.00407759	1
"144"	44	4	"Original"	0.00393588	1
"145"	45	4	"Original"	0.00382475	1
"146"	46	4	"Original"	0.00370292	1
"147"	47	4	"Original"	0.00358235	1
"148"	48	4	"Original"	0.00345489	1
"149"	49	4	"Original"	0.00335651	1
"150"	50	4	"Original"	0.00328468	1
"151"	51	4	"Original"	0.00316974	1
"152"	52	4	"Original"	0.00307565	1
"153"	53	4	"Original"	0.00300926	1
"154"	54	4	"Original"	0.00292946	1
"155"	55	4	"Original"	0.00285332	1
"156"	56	4	"Original"	0.00278128	1
"157"	57	4	"Original"	0.00270793	1
"158"	58	4	"Original"	0.00263041	1
"159"	59	4	"Original"	0.00257448	1
"160"	60	4	"Original"	0.00250236	1
"161"	61	4	"Original"	0.00243895	1
"162"	62	4	"Original"	0.0023839	1
"163"	63	4	"Original"	0.00232998	1
"164"	64	4	"Original"	0.00227894	1
"165"	65	4	"Original"	0.00222477	1
"166"	66	4	"Original"	0.00217467	1
"167"	67	4	"Original"	0.00212232	1
"168"	68	4	"Original"	0.0020832	1
"169"	69	4	"Original"	0.00203661	1
"170"	70	4	"Original"	0.00200221	1
"171"	71	4	"Original"	0.00195092	1
"172"	72	4	"Original"	0.00191109	1
"173"	73	4	"Original"	0.00187517	1
"174"	74	4	"Original"	0.00183613	1
"175"	75	4	"Original"	0.00180323	1
"176"	76	4	"Original"	0.00176455	1
"177"	77	4	"Original"	0.00173792	1
"178"	78	4	"Original"	0.00169663	1
"179"	79	4	"Original"	0.00166831	1
"180"	80	4	"Original"	0.00163363	1
"181"	81	4	"Original"	0.00160931	1
"182"	82	4	"Original"	0.00157971	1
"183"	83	4	"Original"	0.00155009	1
"184"	84	4	"Original"	0.00152446	1
"185"	85	4	"Original"	0.00149549	1
"186"	86	4	"Original"	0.00147209	1
"187"	87	4	"Original"	0.00144917	1
"188"	88	4	"Original"	0.00142139	1
"189"	89	4	"Original"	0.00139973	1
"190"	90	4	"Original"	0.00137527	1
"191"	91	4	"Original"	0.00135297	1
"192"	92	4	"Original"	0.0013334	1
"193"	93	4	"Original"	0.00131046	1
"194"	94	4	"Original"	0.0012888	1
"195"	95	4	"Original"	0.00126954	1
"196"	96	4	"Original"	0.00125067	1
"197"	97	4	"Original"	0.00123312	1
"198"	98	4	"Original"	0.00121285	1
"199"	99	4	"Original"	0.00119551	1
"200"	100	4	"Original"	0.00117915	1
"201"	1	5	"Original"	0.32847	1
"202"	2	5	"Original"	0.163094	1
"203"	3	5	"Original"	0.0902468	1
"204"	4	5	"Original"	0.0567908	1
"205"	5	5	"Original"	0.0425876	1
"206"	6	5	"Original"	0.0312336	1
"207"	7	5	"Original"	0.0236865	1
"208"	8	5	"Original"	0.0188587	1
"209"	9	5	"Original"	0.0154046	1
"210"	10	5	"Original"	0.0128315	1
"211"	11	5	"Original"	0.0108351	1
"212"	12	5	"Original"	0.00933339	1
"213"	13	5	"Original"	0.00802491	1
"214"	14	5	"Original"	0.00698113	1
"215"	15	5	"Original"	0.00620719	1
"216"	16	5	"Original"	0.0054989	1
"217"	17	5	"Original"	0.00493848	1
"218"	18	5	"Original"	0.0044455	1
"219"	19	5	"Original"	0.00404328	1
"220"	20	5	"Original"	0.0036422	1
"221"	21	5	"Original"	0.00333642	1
"222"	22	5	"Original"	0.00303653	1
"223"	23	5	"Original"	0.00281956	1
"224"	24	5	"Original"	0.0025997	1
"225"	25	5	"Original"	0.00239287	1
"226"	26	5	"Original"	0.00222645	1
"227"	27	5	"Original"	0.00208333	1
"228"	28	5	"Original"	0.00193279	1
"229"	29	5	"Original"	0.00180371	1
"230"	30	5	"Original"	0.00169784	1
"231"	31	5	"Original"	0.00158661	1
"232"	32	5	"Original"	0.00150021	1
"233"	33	5	"Original"	0.00140656	1
"234"	34	5	"Original"	0.00133114	1
"235"	35	5	"Original"	0.00126405	1
"236"	36	5	"Original"	0.00119431	1
"237"	37	5	"Original"	0.00112934	1
"238"	38	5	"Original"	0.00107945	1
"239"	39	5	"Original"	0.00102313	1
"240"	40	5	"Original"	0.000976909	1
"241"	41	5	"Original"	0.000931629	1
"242"	42	5	"Original"	0.000885123	1
"243"	43	5	"Original"	0.000848718	1
"244"	44	5	"Original"	0.000810957	1
"245"	45	5	"Original"	0.000776725	1
"246"	46	5	"Original"	0.000745161	1
"247"	47	5	"Original"	0.00071301	1
"248"	48	5	"Original"	0.000685826	1
"249"	49	5	"Original"	0.000658534	1
"250"	50	5	"Original"	0.000634949	1
"251"	51	5	"Original"	0.000607292	1
"252"	52	5	"Original"	0.000588254	1
"253"	53	5	"Original"	0.000565501	1
"254"	54	5	"Original"	0.000543835	1
"255"	55	5	"Original"	0.000526284	1
"256"	56	5	"Original"	0.000506875	1
"257"	1	6	"Original"	0.293508	1
"258"	2	6	"Original"	0.121432	1
"259"	3	6	"Original"	0.0592503	1
"260"	4	6	"Original"	0.0343622	1
"261"	5	6	"Original"	0.0228593	1
"262"	6	6	"Original"	0.0165792	1
"263"	7	6	"Original"	0.0119404	1
"264"	8	6	"Original"	0.00903132	1
"265"	9	6	"Original"	0.00683981	1
"266"	10	6	"Original"	0.00555935	1
"267"	11	6	"Original"	0.00452338	1
"268"	12	6	"Original"	0.00379472	1
"269"	13	6	"Original"	0.00313184	1
"270"	14	6	"Original"	0.00266947	1
"271"	15	6	"Original"	0.00229033	1
"272"	16	6	"Original"	0.00198318	1
"273"	17	6	"Original"	0.00171372	1
"274"	18	6	"Original"	0.00150587	1
"275"	19	6	"Original"	0.00133036	1
"276"	20	6	"Original"	0.00118082	1
"277"	21	6	"Original"	0.00105861	1
"278"	22	6	"Original"	0.000950966	1
"279"	23	6	"Original"	0.000854313	1
"280"	24	6	"Original"	0.000779018	1
"281"	25	6	"Original"	0.000706225	1
"282"	26	6	"Original"	0.00064251	1
"283"	27	6	"Original"	0.000588524	1
"284"	28	6	"Original"	0.000536551	1
"285"	29	6	"Original"	0.000496282	1
"286"	1	7	"Original"	0.260847	1
"287"	2	7	"Original"	0.0899484	1
"288"	3	7	"Original"	0.0407112	1
"289"	4	7	"Original"	0.0210544	1
"290"	5	7	"Original"	0.0129793	1
"291"	6	7	"Original"	0.00873314	1
"292"	7	7	"Original"	0.00643182	1
"293"	8	7	"Original"	0.00463883	1
"294"	9	7	"Original"	0.00340102	1
"295"	10	7	"Original"	0.00254266	1
"296"	11	7	"Original"	0.0020154	1
"297"	12	7	"Original"	0.00161062	1
"298"	13	7	"Original"	0.00131633	1
