"n"	"m"	"B"	"max"	"err.max"	"per.95"	"err.95"	"per.90"	"err.90"
"2"	10	3	"1e+06"	0.088233639	0.0002550216	0.067692245	0.0002115705	0.050588565	0.0001759531
"3"	20	3	"1e+06"	0.046937713	0.0001568824	0.028790351	0.0001467972	0.016693623	9.597608e-05
"4"	30	3	"1e+06"	0.03181549	0.0001334738	0.016069998	9.171111e-05	0.007942813	7.721726e-05
"5"	40	3	"1e+06"	0.023895133	0.0001085541	0.010796394	7.893874e-05	0.004799327	5.907303e-05
"6"	50	3	"1e+06"	0.019245669	0.0001049859	0.008250316	7.826788e-05	0.003526253	4.406739e-05
"7"	60	3	"1e+06"	0.016139818	7.881535e-05	0.006791144	6.558732e-05	0.00282221	4.438145e-05
"8"	70	3	"1e+06"	0.013884991	9.242224e-05	0.005767505	6.073193e-05	0.00237471	3.701467e-05
"9"	80	3	"1e+06"	0.01212359	9.680961e-05	0.004988783	5.625343e-05	0.002047724	3.145562e-05
"10"	90	3	"1e+06"	0.010781003	8.582174e-05	0.004432392	6.232038e-05	0.001808489	3.163818e-05
"11"	100	3	"1e+06"	0.009676533	7.518594e-05	0.003966839	5.578289e-05	0.001618204	3.526947e-05
"12"	10	3	"1e+07"	0.089344122	6.74066e-05	0.06869036	6.08889e-05	0.050106447	5.926044e-05
"13"	20	3	"1e+07"	0.046974343	5.738398e-05	0.029060707	4.360127e-05	0.016876717	3.744519e-05
"14"	30	3	"1e+07"	0.031693373	4.27068e-05	0.015909952	3.633395e-05	0.007959565	2.179304e-05
"15"	40	3	"1e+07"	0.023934826	3.89184e-05	0.010798141	2.827367e-05	0.00481634	1.879599e-05
"16"	50	3	"1e+07"	0.019209502	3.001053e-05	0.008261106	2.366283e-05	0.003508624	1.524107e-05
"17"	60	3	"1e+07"	0.016067625	3.939519e-05	0.006804066	1.918748e-05	0.002825942	1.471002e-05
"18"	70	3	"1e+07"	0.013818505	2.676936e-05	0.005737725	1.711943e-05	0.002363778	1.318425e-05
"210"	10	3	"10"	0.09069963166	0.06164220466	0.06674942473	0.08256700641	0.05103661123	0.08027774241
"310"	20	3	"10"	0.054607446616	0.055807909836	0.035071748193	0.068377530881	0.021698648803	0.044563654201
"42"	30	3	"10"	0.0371370916316	0.0552325576536	0.0189365060693	0.0291521125981	0.0098725632103	0.0121590637501
"51"	40	3	"10"	0.02726191544316	0.05475823666536	0.01259471638693	0.02150169441981	0.00567662004103	0.00590527009501
"61"	50	3	"10"	0.021829199364316	0.040745405986536	0.009567862648693	0.010458560451981	0.004085235154103	0.004108100159501
"71"	60	3	"10"	0.0180064578064316	0.0267649953086536	0.0076145988948693	0.0250409624151981	0.0032124261654103	0.0032147126659501
"81"	70	3	"10"	0.0152660465506432	0.0161419003008654	0.00636656201948693	0.00810919837151981	0.00262993517654103	0.00263016382659501
"91"	80	3	"10"	0.0134980068150643	0.0212352991700865	0.00559718471194869	0.014788874467152	0.0022819968476541	0.0022820197126595
"101"	90	3	"10"	0.0120894600915064	0.0365061743670087	0.00499725522119487	0.0059164241967152	0.00203237185476541	0.00203237414126595
"111"	100	3	"10"	0.0107057427691506	0.0293434210367009	0.00441993844211949	0.00451185533967152	0.00177952597547654	0.0017795262041266
"121"	10	3	"100"	0.0908876044269151	0.0342592713336701	0.069474651874212	0.0215090874239672	0.0492785777575477	0.0223097824604127
