"n" "m" "B" "max" "err.max" "per.75" "err.75" "per.50" "err.50"
"1" 10 3 10 0.08801929 0.06935244 0.0051457 0.01139531 3.569125e-05 3.569125e-05
"2" 20 3 10 0.04726286 0.05810008 0.0002266496 0.0002891457 3.581465e-07 3.581465e-07
"3" 30 3 10 0.03169813 0.04397658 1.083377e-05 1.145873e-05 3.581465e-09 3.581465e-09
"4" 40 3 10 0.0239566 0.03514136 5.466637e-07 5.529133e-07 3.581465e-11 3.581465e-11
"5" 50 3 10 0.01922229 0.02960073 2.982664e-08 2.988913e-08 3.581465e-13 3.581465e-13
"6" 60 3 10 0.01607492 0.02671215 1.677266e-09 1.677891e-09 3.581465e-15 3.581465e-15
"7" 70 3 10 0.01376019 0.0272452 1.127727e-10 1.127789e-10 3.581465e-17 3.581465e-17
"8" 80 3 10 0.01208612 0.02060442 1.127727e-12 1.127789e-12 3.581465e-19 3.581465e-19
"9" 90 3 10 0.01074291 0.017352 1.127727e-14 1.127789e-14 3.581465e-21 3.581465e-21
"10" 100 3 10 0.00968684 0.01703324 1.127727e-16 1.127789e-16 3.581465e-23 3.581465e-23
"11" 10 3 100 0.08850763 0.022945 0.005224271 0.006066439 3.35843e-05 3.35843e-05
"12" 20 3 100 0.04724512 0.01518036 0.0002335037 0.0004356074 3.37007e-07 3.37007e-07
"13" 30 3 100 0.03180625 0.01250635 1.069559e-05 1.271663e-05 3.37007e-09 3.37007e-09
"14" 40 3 100 0.02400773 0.01197309 5.389819e-07 5.591923e-07 3.37007e-11 3.37007e-11
"15" 50 3 100 0.0191754 0.0111322 2.986982e-08 3.007192e-08 3.37007e-13 3.37007e-13
"16" 60 3 100 0.01613644 0.01111131 1.609698e-09 1.611719e-09 3.37007e-15 3.37007e-15
"17" 70 3 100 0.01382442 0.009418698 1.10097e-10 1.101172e-10 3.37007e-17 3.37007e-17
"18" 80 3 100 0.0120815 0.009479863 1.10097e-12 1.101172e-12 3.37007e-19 3.37007e-19
"19" 90 3 100 0.01074879 0.007635237 1.10097e-14 1.101172e-14 3.37007e-21 3.37007e-21
"20" 100 3 100 0.009682644 0.007239791 1.10097e-16 1.101172e-16 3.37007e-23 3.37007e-23
"21" 10 3 1000 0.08874646 0.007085679 0.005040218 0.001861834 3.308909e-05 6.995273e-05
"22" 20 3 1000 0.04712294 0.005792537 0.0002322404 0.0003430878 3.322279e-07 7.008643e-07
"23" 30 3 1000 0.03180243 0.004099489 1.051492e-05 1.16234e-05 3.322279e-09 7.008643e-09
"24" 40 3 1000 0.02395277 0.004116962 5.389232e-07 5.50008e-07 3.322279e-11 7.008643e-11
"25" 50 3 1000 0.01924963 0.003808711 2.916123e-08 2.927208e-08 3.322279e-13 7.008643e-13
"26" 60 3 1000 0.01606067 0.003107265 1.671612e-09 1.672721e-09 3.322279e-15 7.008643e-15
"27" 70 3 1000 0.01386481 0.002928379 9.671612e-11 9.672721e-11 3.322279e-17 7.008643e-17
"28" 80 3 1000 0.01213198 0.002728581 9.671612e-13 9.672721e-13 3.322279e-19 7.008643e-19
"29" 90 3 1000 0.01076322 0.00270753 9.671612e-15 9.672721e-15 3.322279e-21 7.008643e-21
"30" 100 3 1000 0.009672868 0.002735257 9.671612e-17 9.672721e-17 3.322279e-23 7.008643e-23
"31" 10 3 10000 0.08838433 0.002400479 0.005175526 0.0005795806 3.410161e-05 4.55855e-05
"32" 20 3 10000 0.04725229 0.001664522 0.0002297966 0.0001090828 3.422521e-07 4.57091e-07
"33" 30 3 10000 0.03169727 0.001419768 1.08996e-05 1.80348e-05 3.422521e-09 4.57091e-09
"34" 40 3 10000 0.02395062 0.001322158 5.44318e-07 6.1567e-07 3.422521e-11 4.57091e-11
"35" 50 3 10000 0.01920877 0.001140568 3.031918e-08 3.10327e-08 3.422521e-13 4.57091e-13
"36" 60 3 10000 0.01605857 0.001039244 1.709192e-09 1.716327e-09 3.422521e-15 4.57091e-15
"37" 70 3 10000 0.01375778 0.0009686654 1.120919e-10 1.121633e-10 3.422521e-17 4.57091e-17
"38" 80 3 10000 0.01209404 0.0009950007 1.120919e-12 1.121633e-12 3.422521e-19 4.57091e-19
"39" 90 3 10000 0.01072658 0.0008359342 1.120919e-14 1.121633e-14 3.422521e-21 4.57091e-21
"40" 100 3 10000 0.009688196 0.0007524317 1.120919e-16 1.121633e-16 3.422521e-23 4.57091e-23
"41" 10 3 1e+05 0.08890015 0.000722349 0.005173764 0.0001736541 3.132733e-05 1.285939e-05
"42" 20 3 1e+05 0.04707553 0.0006197087 0.0002327167 3.364569e-05 3.145113e-07 1.298319e-07
"43" 30 3 1e+05 0.03170011 0.0004680114 1.094049e-05 6.509984e-06 3.145113e-09 1.298319e-09
"44" 40 3 1e+05 0.02390346 0.0003410792 5.625249e-07 9.656878e-07 3.145113e-11 1.298319e-11
"45" 50 3 1e+05 0.01922104 0.0003194612 3.001225e-08 3.404388e-08 3.145113e-13 1.298319e-13
