"","X","n","MAE","type","method","TAE"
"1",1,1,0.524978,3,"origi",1
"2",2,2,0.339962,3,"origi",1
"3",3,3,0.250543,3,"origi",1
"4",4,4,0.196747,3,"origi",1
"5",5,5,0.163578,3,"origi",1
"6",6,6,0.140073,3,"origi",1
"7",7,7,0.122266,3,"origi",1
"8",8,8,0.108016,3,"origi",1
"9",9,9,0.0976166,3,"origi",1
"10",10,10,0.0883387,3,"origi",1
"11",11,11,0.0811059,3,"origi",1
"12",12,12,0.0749255,3,"origi",1
"13",13,13,0.0693213,3,"origi",1
"14",14,14,0.0650087,3,"origi",1
"15",15,15,0.0605839,3,"origi",1
"16",16,16,0.0568772,3,"origi",1
"17",17,17,0.054004,3,"origi",1
"18",18,18,0.0511595,3,"origi",1
"19",19,19,0.0485958,3,"origi",1
"20",20,20,0.0460806,3,"origi",1
"21",21,21,0.0440487,3,"origi",1
"22",22,22,0.0421653,3,"origi",1
"23",23,23,0.0404447,3,"origi",1
"24",24,24,0.0390165,3,"origi",1
"25",25,25,0.037363,3,"origi",1
"26",26,26,0.0358627,3,"origi",1
"27",27,27,0.0346109,3,"origi",1
"28",28,28,0.0334128,3,"origi",1
"29",29,29,0.0324659,3,"origi",1
"30",30,30,0.0314632,3,"origi",1
"31",31,31,0.0303428,3,"origi",1
"32",32,32,0.0294334,3,"origi",1
"33",33,33,0.0285653,3,"origi",1
"34",34,34,0.0278239,3,"origi",1
"35",35,35,0.0269169,3,"origi",1
"36",36,36,0.0262742,3,"origi",1
"37",37,37,0.0254331,3,"origi",1
"38",38,38,0.0248188,3,"origi",1
"39",39,39,0.0242187,3,"origi",1
"40",40,40,0.023639,3,"origi",1
"41",41,41,0.0229916,3,"origi",1
"42",42,42,0.0225227,3,"origi",1
"43",43,43,0.022042,3,"origi",1
"44",44,44,0.0215484,3,"origi",1
"45",45,45,0.021054,3,"origi",1
"46",46,46,0.0206002,3,"origi",1
"47",47,47,0.020189,3,"origi",1
"48",48,48,0.0197819,3,"origi",1
"49",49,49,0.0192988,3,"origi",1
"50",50,50,0.0189295,3,"origi",1
"51",51,51,0.0186857,3,"origi",1
"52",52,52,0.0182574,3,"origi",1
"53",53,53,0.0179245,3,"origi",1
"54",54,54,0.0175708,3,"origi",1
"55",55,55,0.0172831,3,"origi",1
"56",56,56,0.0170214,3,"origi",1
"57",57,57,0.0167212,3,"origi",1
"58",58,58,0.0163966,3,"origi",1
"59",59,59,0.0161413,3,"origi",1
"60",60,60,0.0159037,3,"origi",1
