"","x","y","z","col","shape"
"1",1,1,2.4779e-06,"green","dash-dash"
"2",1,2,0.0001935626,"green","dash-dash"
"3",1,3,0.0015438042,"green","dash-dash"
"4",1,4,0.0053884259,"green","dash-dash"
"5",1,5,0.0105143021,"red","dash-dash"
"6",1,6,0.0125847792,"red","dash-dash"
"7",1,7,0.0095605404,"red","dash-dash"
"8",1,8,0.0045924964,"red","dash-dash"
"9",1,9,0.0013346287,"red","dash-dash"
"10",1,10,0.0002094852,"red","dash-dash"
"11",1,11,1.30423e-05,"red","dash-dash"
"12",2,1,8.96971e-05,"green","dash-dash"
"13",2,2,0.0019149687,"green","dash-dash"
"14",2,3,0.0110845449,"green","dash-dash"
"15",2,4,0.0307105992,"dd","dash-dash"
"16",2,5,0.0484915185,"red","dash-dash"
"17",2,6,0.0467303218,"red","dash-dash"
"18",2,7,0.0279257028,"red","dash-dash"
"19",2,8,0.0100592127,"red","dash-dash"
"20",2,9,0.0019874019,"red","dash-dash"
"21",2,10,0.0001637268,"red","dash-dash"
"22",2,11,0,"red","dash-dash"
"23",3,1,0.0005419179,"green","dash-dash"
"24",3,2,0.0071219765,"green","dash-dash"
"25",3,3,0.0314152569,"green","dash-dash"
"26",3,4,0.0689883686,"red","dash-dash"
"27",3,5,0.0863571483,"red","dash-dash"
"28",3,6,0.0645092939,"red","dash-dash"
"29",3,7,0.0284366145,"red","dash-dash"
"30",3,8,0.0068152028,"red","dash-dash"
"31",3,9,0.000683154,"red","dash-dash"
"32",3,10,0,"red","dash-dash"
"33",3,11,0,"red","dash-dash"
"34",4,1,0.0014393017,"green","dash-dash"
"35",4,2,0.0134631392,"dd","dash-dash"
"36",4,3,0.0458231014,"blue","dash-dash"
"37",4,4,0.078430491,"dd","dash-dash"
"38",4,5,0.0750050521,"red","dash-dash"
"39",4,6,0.04070328,"red","dash-dash"
"40",4,7,0.0117188791,"red","dash-dash"
"41",4,8,0.0013900796,"red","dash-dash"
"42",4,9,0,"red","dash-dash"
"43",4,10,0,"red","dash-dash"
"44",4,11,0,"red","dash-dash"
"45",5,1,0.0020606479,"blue","dash-dash"
"46",5,2,0.0143384947,"blue","dash-dash"
"47",5,3,0.0373061391,"blue","dash-dash"
"48",5,4,0.0480728091,"blue","dash-dash"
"49",5,5,0.0329393232,"dd","dash-dash"
"50",5,6,0.0115028316,"red","dash-dash"
"51",5,7,0.0016112552,"red","dash-dash"
"52",5,8,0,"red","dash-dash"
"53",5,9,0,"red","dash-dash"
"54",5,10,0,"red","dash-dash"
"55",5,11,0,"red","dash-dash"
"56",6,1,0.0017052875,"blue","dash-dash"
"57",6,2,0.0088787736,"blue","dash-dash"
"58",6,3,0.0171422234,"blue","dash-dash"
"59",6,4,0.0156343584,"blue","dash-dash"
"60",6,5,0.0068121285,"blue","dash-dash"
"61",6,6,0.0011431514,"dd","dash-dash"
"62",6,7,0,"red","dash-dash"
"63",6,8,0,"red","dash-dash"
"64",6,9,0,"red","dash-dash"
"65",6,10,0,"red","dash-dash"
"66",6,11,0,"red","dash-dash"
"67",7,1,0.000830133,"blue","dash-dash"
"68",7,2,0.0031690191,"blue","dash-dash"
"69",7,3,0.0042868558,"blue","dash-dash"
"70",7,4,0.0024622764,"blue","dash-dash"
"71",7,5,0.0005105737,"blue","dash-dash"
"72",7,6,0,"blue","dash-dash"
"73",7,7,0,"dd","dash-dash"
"74",7,8,0,"red","dash-dash"
"75",7,9,0,"red","dash-dash"
"76",7,10,0,"red","dash-dash"
"77",7,11,0,"red","dash-dash"
"78",8,1,0.0002351827,"blue","dash-dash"
"79",8,2,0.0006240064,"blue","dash-dash"
"80",8,3,0.000527223,"blue","dash-dash"
"81",8,4,0.0001428653,"blue","dash-dash"
"82",8,5,0,"blue","dash-dash"
"83",8,6,0,"blue","dash-dash"
"84",8,7,0,"blue","dash-dash"
"85",8,8,0,"dd","dash-dash"
"86",8,9,0,"red","dash-dash"
"87",8,10,0,"red","dash-dash"
"88",8,11,0,"red","dash-dash"
"89",9,1,3.69923e-05,"blue","dash-dash"
"90",9,2,6.0819e-05,"blue","dash-dash"
"91",9,3,2.40054e-05,"blue","dash-dash"
"92",9,4,0,"blue","dash-dash"
"93",9,5,0,"blue","dash-dash"
"94",9,6,0,"blue","dash-dash"
"95",9,7,0,"blue","dash-dash"
"96",9,8,0,"blue","dash-dash"
"97",9,9,0,"dd","dash-dash"
"98",9,10,0,"red","dash-dash"
"99",9,11,0,"red","dash-dash"
"100",10,1,2.8734e-06,"blue","dash-dash"
"101",10,2,2.1747e-06,"blue","dash-dash"
"102",10,3,0,"blue","dash-dash"
"103",10,4,0,"blue","dash-dash"
"104",10,5,0,"blue","dash-dash"
"105",10,6,0,"blue","dash-dash"
"106",10,7,0,"blue","dash-dash"
"107",10,8,0,"blue","dash-dash"
"108",10,9,0,"blue","dash-dash"
"109",10,10,0,"dd","dash-dash"
"110",10,11,0,"red","dash-dash"
"111",11,1,7.92e-08,"blue","dash-dash"
"112",11,2,0,"blue","dash-dash"
"113",11,3,0,"blue","dash-dash"
"114",11,4,0,"blue","dash-dash"
"115",11,5,0,"blue","dash-dash"
"116",11,6,0,"blue","dash-dash"
"117",11,7,0,"blue","dash-dash"
"118",11,8,0,"blue","dash-dash"
"119",11,9,0,"blue","dash-dash"
"120",11,10,0,"blue","dash-dash"
"121",11,11,0,"dd","dash-dash"
