"n"	"m"	"time"
"1"	10	2	0.00095999999999999
"2"	20	2	0.000873999999999987
"3"	30	2	0.00118599999999993
"4"	40	2	0.00156799999999999
"5"	50	2	0.00188000000000002
"6"	60	2	0.00250400000000005
"7"	70	2	0.00292199999999998
"8"	80	2	0.00336900000000004
"9"	90	2	0.00385499999999997
"10"	100	2	0.00464000000000002
"11"	110	2	0.00542099999999997
"12"	120	2	0.005981
"13"	130	2	0.00672499999999997
"14"	140	2	0.00743799999999994
"15"	150	2	0.00843700000000012
"16"	160	2	0.00928799999999994
"17"	170	2	0.010166
"18"	180	2	0.0112460000000001
"19"	190	2	0.01227
"20"	200	2	0.01316
"21"	210	2	0.014495
"22"	220	2	0.0155749999999999
"23"	230	2	0.016679
"24"	240	2	0.0181960000000001
"25"	250	2	0.019397
"26"	260	2	0.0208269999999999
"27"	270	2	0.022467
"28"	280	2	0.0238309999999999
"29"	290	2	0.0253749999999999
"30"	300	2	0.0268329999999998
"31"	310	2	0.0289900000000001
"32"	320	2	0.0301040000000001
"33"	330	2	0.0315290000000001
"34"	340	2	0.0330369999999999
"35"	350	2	0.034954
"36"	360	2	0.0369389999999999
"37"	370	2	0.0387049999999999
"38"	380	2	0.0407999999999999
"39"	390	2	0.0427659999999999
"40"	400	2	0.044755
"41"	410	2	0.046998
"42"	420	2	0.0491800000000002
"43"	430	2	0.0523540000000001
"44"	440	2	0.0546389999999999
"45"	450	2	0.057569
"46"	460	2	0.0597190000000001
"47"	470	2	0.0621889999999998
"48"	480	2	0.0646109999999999
"49"	490	2	0.067499
"50"	500	2	0.0704310000000002
"51"	510	2	0.0724470000000003
"52"	520	2	0.0745950000000003
"53"	530	2	0.0777479999999999
"54"	540	2	0.0799320000000004
"55"	550	2	0.0823670000000001
"56"	560	2	0.0857260000000001
"57"	570	2	0.0881799999999997
"58"	580	2	0.0926730000000003
"59"	590	2	0.0960159999999999
"60"	600	2	0.099177
"61"	610	2	0.101878
"62"	620	2	0.105511
"63"	630	2	0.10852
"64"	640	2	0.11225
"65"	650	2	0.115125
"66"	660	2	0.118088
"67"	670	2	0.121918
"68"	680	2	0.125242
"69"	690	2	0.129245
"70"	700	2	0.132005
"71"	710	2	0.136069
"72"	720	2	0.139101
"73"	730	2	0.142609
"74"	740	2	0.147107
"75"	750	2	0.150861
"76"	760	2	0.154963
"77"	770	2	0.158851
"78"	780	2	0.162638
"79"	790	2	0.166448
"80"	800	2	0.170665
"81"	810	2	0.174891
"82"	820	2	0.177465
"83"	830	2	0.181518
"84"	840	2	0.185899
"85"	850	2	0.190171
"86"	860	2	0.194453999999999
"87"	870	2	0.198959
"88"	880	2	0.203089
"89"	890	2	0.207923
"90"	900	2	0.212333
"91"	910	2	0.217033
"92"	920	2	0.221525
"93"	930	2	0.2264
"94"	940	2	0.231069
"95"	950	2	0.235798
"96"	960	2	0.240933000000001
"97"	970	2	0.245384
"98"	980	2	0.250702
"99"	990	2	0.256736000000001
"100"	1000	2	0.262183
