"","Product ID","Type","Air temperature [K]","Process temperature [K]","Rotational speed [rpm]","Torque [Nm]"
"2","M14860","M","298.1","308.6","1551","42.8"
"3","L47181","L","298.2","308.7","1408","46.3"
"4","L47182","L","298.1","308.5","1498","49.4"
"5","L47183","L","298.2","308.6","1433","39.5"
"6","L47184","L","298.2","308.7","1408","40.0"
"7","M14865","M","298.1","308.6","1425","41.9"
"8","L47186","L","298.1","308.6","1558","42.4"
"9","L47187","L","298.1","308.6","1527","40.2"
"10","M14868","M","298.3","308.7","1667","28.6"
"11","M14869","M","298.5","309","1741","28.0"
"12","H29424","H","298.4","308.9","1782","23.9"
"13","H29425","H","298.6","309.1","1423","44.3"
"14","M14872","M","298.6","309.1","1339","51.1"
"15","M14873","M","298.6","309.2","1742","30.0"
"16","L47194","L","298.6","309.2","2035","19.6"
"17","L47195","L","298.6","309.2","1542","48.4"
"18","M14876","M","298.6","309.2","1311","46.6"
"19","M14877","M","298.7","309.2","1410","45.6"
"20","H29432","H","298.8","309.2","1306","54.5"
"21","M14879","M","298.9","309.3","1632","32.5"
"22","H29434","H","298.9","309.3","1375","42.7"
"23","L47201","L","298.8","309.3","1450","44.8"
"24","M14882","M","298.9","309.3","1581","30.7"
"25","L47203","L","299.0","309.4","1758","25.7"
"26","M14884","M","299.0","309.4","1561","37.3"
"27","L47205","L","299.0","309.5","1861","23.3"
"28","L47206","L","299.1","309.5","1512","39.0"
"29","H29441","H","299.1","309.4","1811","24.6"
"30","L47208","L","299.1","309.4","1439","44.2"
"31","L47209","L","299.0","309.4","1693","30.1"
"32","M14890","M","299.1","309.5","1339","48.2"
"33","L47211","L","299.0","309.4","1798","25.5"
"34","L47212","L","299.0","309.4","1419","48.3"
"35","L47213","L","298.9","309.3","1665","32.5"
"36","M14894","M","298.8","309.1","1559","34.7"
"37","M14895","M","298.8","309.2","1452","48.6"
"38","M14896","M","298.9","309.2","1581","36.7"
"39","L47217","L","298.8","309.1","1439","39.2"
"40","H29452","H","298.9","309.2","1379","50.7"
"41","L47219","L","298.8","309.1","1350","52.5"
"42","L47220","L","298.8","309.1","1362","45.4"
"43","L47221","L","298.8","309.1","1368","50.8"
"44","M14902","M","298.8","309.1","1368","49.1"
"45","H29457","H","298.8","309.2","1372","48.5"
"46","M14904","M","298.8","309.1","1472","47.5"
"47","L47225","L","298.8","309.1","1489","49.1"
"48","M14906","M","298.7","309","1843","25.8"
"49","L47227","L","298.8","309.1","1418","46.3"
"50","H29462","H","298.8","309.2","1425","53.9"
"51","M14909","M","298.9","309.2","1412","44.1"
"52","L47230","L","298.9","309.1","2861","4.6"
"53","L47231","L","298.9","309.1","1383","54.9"
"54","H29466","H","298.8","309","1497","43.8"
"55","L47233","L","298.7","309","1565","35.1"
"56","L47234","L","298.7","309","1691","30.1"
"57","L47235","L","298.8","309.1","1512","40.7"
"58","L47236","L","298.8","309.1","1477","42.4"
"59","L47237","L","298.8","309.1","1513","40.3"
"60","M14918","M","298.8","309","1661","29.5"
"61","L47239","L","298.8","309.1","1378","54.4"
"62","L47240","L","298.8","309.1","1393","52.6"
"63","M14921","M","298.8","309","1592","38.2"
"64","L47242","L","298.8","309","1829","22.9"
"65","M14923","M","298.9","309","1812","25.9"
"66","L47244","L","299.0","309.1","1523","38.6"
"67","L47245","L","299.0","309.1","1394","45.1"
"68","M14926","M","298.9","308.9","1679","28.7"
"69","H29481","H","298.8","308.9","1466","44.1"
"70","L47248","L","298.8","308.9","1527","32.4"
"71","L47249","L","298.9","309","1410","65.7"
"72","M14930","M","298.9","309","1924","22.6"
"73","L47251","L","298.9","309.1","1452","45.5"
"74","L47252","L","298.9","309.1","1369","44.4"
"75","L47253","L","299.0","309.1","1592","35.0"
"76","L47254","L","298.9","309","1601","32.3"
"77","L47255","L","298.8","308.9","1379","46.7"
"78","L47256","L","298.8","308.9","1461","47.9"
"79","L47257","L","298.8","308.9","1455","41.3"
"80","L47258","L","298.8","308.9","1398","51.5"
"81","L47259","L","298.8","308.9","1402","37.9"
"82","H29494","H","298.8","308.8","1445","49.9"
"83","L47261","L","298.9","308.9","1450","47.5"
"84","L47262","L","298.9","308.9","1453","40.8"
"85","L47263","L","299.0","309","1469","40.1"
"86","L47264","L","298.9","308.9","1422","47.6"
"87","M14945","M","299.0","309","1804","26.8"
"88","H29500","H","299.0","309","1436","43.9"
"89","L47267","L","299.0","309","1544","31.8"
"90","M14948","M","299.0","309","1419","45.2"
"91","M14949","M","298.9","308.9","1487","39.5"
"92","L47270","L","298.9","308.9","1753","25.8"
"93","L47271","L","298.9","308.9","1830","24.9"
"94","M14952","M","298.9","308.9","1727","27.1"
"95","L47273","L","299.1","309","1450","43.0"
"96","L47274","L","299.0","308.9","1622","31.9"
"97","M14955","M","299.0","309","1351","52.2"
"98","M14956","M","299.0","309","1575","35.3"
"99","M14957","M","298.9","308.9","1750","29.9"
"100","L47278","L","298.9","308.8","1529","32.7"
"101","L47279","L","298.8","308.8","1523","44.4"
"102","L47280","L","298.8","308.9","1852","25.0"
"103","L47281","L","298.8","308.8","1991","20.7"
"104","L47282","L","298.8","308.8","1555","40.6"
"105","M14963","M","298.8","308.8","1441","40.5"
"106","L47284","L","298.8","308.7","1450","43.4"
"107","L47285","L","298.8","308.7","1591","31.1"
"108","L47286","L","298.8","308.7","1445","48.5"
"109","M14967","M","298.8","308.8","1497","46.8"
"110","H29522","H","298.9","308.8","1621","32.7"
"111","L47289","L","298.9","308.7","1572","34.1"
"112","L47290","L","298.8","308.6","1872","22.5"
"113","H29525","H","298.7","308.6","1499","43.5"
"114","M14972","M","298.8","308.7","1498","39.5"
"115","M14973","M","298.8","308.6","1486","41.9"
"116","L47294","L","298.8","308.6","1680","29.4"
"117","L47295","L","298.8","308.6","1431","45.7"
"118","L47296","L","298.9","308.7","1564","34.1"
"119","L47297","L","298.8","308.6","1599","33.0"
"120","M14978","M","298.8","308.6","1707","28.1"
"121","L47299","L","298.7","308.5","1467","40.7"
"122","L47300","L","298.9","308.7","1433","44.7"
"123","L47301","L","298.9","308.7","1558","41.2"
"124","L47302","L","299.0","308.8","1310","50.7"
"125","L47303","L","298.9","308.7","1546","43.4"
"126","L47304","L","298.9","308.7","1727","29.4"
"127","L47305","L","298.9","308.6","1560","32.2"
"128","L47306","L","299.0","308.6","1329","60.5"
"129","L47307","L","298.9","308.6","1413","46.5"
"130","L47308","L","299.0","308.6","1587","38.6"
"131","L47309","L","298.9","308.5","1559","34.3"
"132","L47310","L","298.8","308.4","1473","41.1"
"133","L47311","L","298.8","308.4","1737","27.7"
"134","M14992","M","298.7","308.4","1441","43.2"
"135","M14993","M","298.7","308.4","1430","49.6"
"136","L47314","L","298.8","308.4","1369","53.0"
"137","M14995","M","298.8","308.5","1711","28.5"
"138","H29550","H","298.7","308.5","1420","45.7"
"139","L47317","L","298.7","308.6","1297","55.3"
"140","H29552","H","298.8","308.6","1449","49.4"
"141","L47319","L","298.8","308.6","1268","55.8"
"142","L47320","L","298.8","308.6","1511","36.1"
"143","L47321","L","298.7","308.5","1544","35.2"
"144","M15002","M","298.6","308.4","1778","28.2"
"145","H29557","H","298.6","308.4","1407","50.5"
"146","M15004","M","298.6","308.4","1391","42.4"
"147","L47325","L","298.5","308.4","1513","33.6"
"148","H29560","H","298.5","308.4","1612","36.1"
"149","L47327","L","298.4","308.4","1515","40.1"
"150","M15008","M","298.3","308.3","1379","48.0"
"151","L47329","L","298.4","308.3","1473","39.9"
"152","L47330","L","298.4","308.3","1422","42.7"
"153","M15011","M","298.4","308.2","1463","37.6"
"154","M15012","M","298.4","308.2","1584","41.0"
"155","L47333","L","298.4","308.2","1850","27.0"
"156","L47334","L","298.4","308.2","1528","36.2"
"157","H29569","H","298.4","308.2","1987","19.8"
"158","M15016","M","298.4","308.1","1495","46.0"
"159","H29571","H","298.4","308.2","1478","43.5"
"160","M15018","M","298.4","308.2","1499","40.0"
"161","L47339","L","298.4","308.2","1471","47.0"
"162","L47340","L","298.4","308.2","1282","60.7"
"163","L47341","L","298.3","308.1","1412","52.3"
"164","L47342","L","298.3","308.1","1586","35.5"
"165","M15023","M","298.4","308.2","1468","43.8"
"166","M15024","M","298.5","308.3","1440","43.6"
"167","L47345","L","298.5","308.4","1733","26.0"
"168","H29580","H","298.4","308.2","1612","32.6"
"169","H29581","H","298.4","308.3","1458","42.9"
"170","L47348","L","298.4","308.3","1433","62.3"
"171","L47349","L","298.4","308.3","1318","59.1"
"172","M15030","M","298.4","308.2","1610","35.0"
"173","L47351","L","298.2","308.1","1462","50.8"
"174","M15032","M","298.1","308","1924","20.8"
"175","M15033","M","298.2","308","1591","33.7"
"176","L47354","L","298.2","308.1","1306","58.3"
"177","L47355","L","298.2","308.1","1382","43.5"
"178","L47356","L","298.2","308.1","1618","34.7"
"179","L47357","L","298.2","308.2","1988","21.4"
"180","L47358","L","298.2","308.2","1436","50.2"
"181","L47359","L","298.2","308.3","1304","49.8"
"182","L47360","L","298.2","308.3","1475","49.9"
"183","H29595","H","298.2","308.3","1824","24.2"
"184","M15042","M","298.1","308.2","1342","48.1"
"185","L47363","L","298.1","308.2","1485","40.7"
"186","L47364","L","298.2","308.2","1667","30.6"
"187","L47365","L","298.2","308.2","1446","38.2"
"188","L47366","L","298.1","308.3","1301","56.0"
"189","L47367","L","298.2","308.4","1379","43.1"
"190","L47368","L","298.3","308.5","1606","33.6"
"191","M15049","M","298.3","308.4","1539","43.4"
"192","L47370","L","298.2","308.4","1477","49.9"
"193","L47371","L","298.2","308.4","1666","34.6"
"194","H29606","H","298.2","308.4","1398","51.8"
"195","H29607","H","298.2","308.4","1678","34.6"
"196","M15054","M","298.2","308.5","2678","10.7"
"197","L47375","L","298.3","308.5","1453","42.9"
"198","H29610","H","298.3","308.6","1432","49.5"
"199","M15057","M","298.4","308.6","1527","40.9"
"200","L47378","L","298.4","308.7","1588","35.0"
"201","L47379","L","298.4","308.6","1433","47.1"
"202","L47380","L","298.4","308.6","1609","35.0"
"203","L47381","L","298.3","308.5","1575","41.2"
"204","M15062","M","298.4","308.5","1636","35.7"
"205","L47383","L","298.4","308.5","1490","37.9"
"206","L47384","L","298.4","308.5","1741","32.8"
"207","M15065","M","298.5","308.6","1344","53.0"
"208","L47386","L","298.5","308.7","1609","35.3"
"209","M15067","M","298.4","308.7","1421","60.7"
"210","L47388","L","298.4","308.6","1591","36.7"
"211","L47389","L","298.4","308.6","1477","44.0"
"212","L47390","L","298.4","308.7","1523","36.1"
"213","L47391","L","298.5","308.7","1575","33.9"
"214","H29626","H","298.4","308.7","1344","52.9"
"215","L47393","L","298.4","308.7","1386","44.9"
"216","M15074","M","298.3","308.6","1589","37.1"
"217","L47395","L","298.3","308.6","1548","40.3"
"218","L47396","L","298.3","308.6","1499","38.3"
"219","L47397","L","298.3","308.5","1664","31.6"
"220","L47398","L","298.3","308.6","1447","38.1"
"221","M15079","M","298.3","308.5","1434","46.2"
"222","L47400","L","298.3","308.5","1416","52.7"
"223","H29635","H","298.4","308.5","1827","24.3"
"224","L47402","L","298.4","308.6","1304","45.0"
"225","L47403","L","298.4","308.6","1569","34.4"
"226","L47404","L","298.3","308.6","1584","29.3"
"227","L47405","L","298.3","308.5","1362","53.8"
"228","L47406","L","298.3","308.4","1329","49.2"
"229","L47407","L","298.3","308.5","1539","36.1"
"230","M15088","M","298.3","308.5","1629","37.1"
"231","L47409","L","298.3","308.5","1538","32.2"
"232","L47410","L","298.3","308.6","1570","34.8"
"233","L47411","L","298.3","308.4","1408","43.1"
"234","L47412","L","298.2","308.4","1424","47.6"
"235","L47413","L","298.2","308.4","1512","34.9"
"236","L47414","L","298.2","308.4","1478","42.9"
"237","M15095","M","298.1","308.3","1680","33.7"
"238","L47416","L","298.1","308.3","1495","38.7"
"239","M15097","M","298.0","308.1","1552","36.6"
"240","L47418","L","297.9","308.1","1393","50.3"
"241","L47419","L","298.0","308.2","1611","30.6"
"242","M15100","M","298.0","308.1","1339","51.6"
"243","L47421","L","298.0","308.1","1777","24.3"
"244","L47422","L","298.0","308.2","1348","58.8"
"245","L47423","L","298.0","308.2","1442","44.1"
"246","M15104","M","298.0","308.2","1395","49.1"
"247","M15105","M","297.9","308.1","1627","31.4"
"248","L47426","L","297.9","308.1","1585","33.5"
"249","L47427","L","298.0","308.2","1469","45.5"
"250","L47428","L","298.0","308.3","1362","56.8"
"251","L47429","L","298.0","308.3","1405","56.2"
"252","L47430","L","298.0","308.3","1662","32.7"
"253","M15111","M","298.0","308.2","1466","42.6"
"254","L47432","L","298.0","308.2","1620","35.8"
"255","L47433","L","298.0","308.2","1357","48.2"
"256","L47434","L","298.0","308.2","1514","37.9"
"257","L47435","L","298.0","308.2","1489","40.4"
"258","L47436","L","298.1","308.3","1331","63.0"
"259","L47437","L","298.0","308","1615","29.5"
"260","L47438","L","298.1","308.2","1482","37.9"
"261","M15119","M","298.1","308.2","1420","63.9"
"262","M15120","M","298.2","308.3","1522","49.1"
"263","L47441","L","298.1","308.2","1654","32.1"
"264","M15122","M","298.1","308.2","1736","26.8"
"265","M15123","M","298.0","308.1","1587","32.3"
"266","L47444","L","298.1","308.2","1390","47.5"
"267","L47445","L","298.0","308.1","1454","37.1"
"268","H29680","H","298.0","308.1","1440","43.7"
"269","L47447","L","297.9","308","1954","21.1"
"270","H29682","H","297.9","308","1800","24.8"
"271","L47449","L","298.0","308","1524","37.0"
"272","H29684","H","298.0","308","1520","39.6"
"273","M15131","M","298.1","308.1","1452","40.8"
"274","L47452","L","298.1","308.1","1484","40.4"
"275","L47453","L","298.1","308","1426","46.0"
"276","L47454","L","298.1","308","1652","28.5"
"277","L47455","L","298.0","308","1401","54.7"
"278","M15136","M","298.0","307.9","1750","26.6"
"279","H29691","H","298.0","308","1479","50.7"
"280","M15138","M","298.0","308","1620","29.4"
"281","L47459","L","298.0","308.1","1819","23.4"
"282","M15140","M","298.1","308.1","1456","43.7"
"283","L47461","L","298.1","308","1626","36.5"
"284","M15142","M","298.1","308.1","1390","49.8"
"285","L47463","L","298.2","308.2","1469","43.0"
"286","L47464","L","298.2","308.3","2051","19.2"
"287","L47465","L","298.2","308.3","1568","36.0"
"288","L47466","L","298.2","308.3","1589","33.2"
"289","L47467","L","298.2","308.3","1805","31.6"
"290","H29702","H","298.2","308.4","1385","42.2"
"291","L47469","L","298.1","308.4","1436","46.7"
